아파트명,주소,lat,lng,구,세대수,내구연수,기계실등급,비고
수서1단지SH빌(수서1-1단지),서울시 강남구 양재대로55길 10,37.492734,127.090286,강남구,300,10,a,
SH공사 수서6단지,서울시 강남구 광평로56길 11,37.487542,127.105125,강남구,400,20,a,
신동아아파트,서울시 강남구 광평로47길 17,37.486936,127.098207,강남구,500,15,a,우수단지
수서삼익아파트,서울시 강남구 광평로51길 27,37.48934,127.100914,강남구,600,13,a,
수서동익아파트,서울시 강남구 광평로39길 3,37.485517,127.096577,강남구,700,20,a,
수서삼성아파트,서울시 강남구 광평로31길 27,37.485092,127.090613,강남구,800,23,a,
대청아파트,서울시 강남구 개포로109길 21,37.494389,127.075194,강남구,900,23,a,
아카데미스위트,서울시 강남구 언주로30길 21,37.488808,127.052167,강남구,780,24,b,관리소홀
대치포스코더샵,서울시 강남구 삼성로 417,37.504145,127.057117,강남구,1100,10,b,
대치동부센트레빌,서울시 강남구 선릉로 206,37.49298,127.055809,강남구,1200,20,b,
역삼래미안,서울시 강남구 선릉로69길 19,37.497737,127.050059,강남구,1300,15,b,어려움
역삼e편한세상아파트,서울시 강남구 선릉로69길 20,37.498207,127.04931,강남구,1400,13,b,
역삼푸르지오,서울시 강남구 언주로 332,37.497537,127.047331,강남구,1500,20,c,
도곡렉슬아파트,서울시 강남구 선릉로 221,37.493771,127.050483,강남구,2000,23,c,자주방문
도곡2차아이파크,서울시 강남구 도곡로14길 28,37.48936,127.037091,강남구,1700,23,c,
개나리래미안,서울시 강남구 역삼로 306,37.498758,127.046429,강남구,1800,24,c,친절
역삼아이파크,서울시 강남구 역삼로 307,37.499538,127.045815,강남구,1900,23,c,
개나리푸르지오,서울시 강남구 역삼로 314,37.500014,127.049464,강남구,2000,24,c,
